sock_reading_1,sock_reading_2,sock_reading_3,sock_reading_4,sock_reading_5,value1,value2,value3,value4,value5,value6,value7,timestamp_ms
0.5471113616606438,0.31240971971299225,0.31571396312224476,0.3374559198956433,0.41473851411151025,-0.9153616977010212,-1.0005115029405915,-0.8212813629106408,-0.6434603434171137,-0.9271745791568833,-0.730952709857139,-0.6196773886481477,1744688274330
0.6215597212983764,0.3506115447320002,0.35833746356356344,0.4012809953439524,0.44063047330947497,-0.8923597051868166,-0.9719998644215504,-0.8192688022108218,-0.6407628070359757,-0.9038684708648976,-0.7295582033402505,-0.617202942095716,1744688274350
0.7060339263474104,0.39792998069276964,0.4061959638394111,0.46577138047696853,0.4658177635346944,-0.8649935800062436,-0.9501308931609135,-0.814890274035953,-0.6396043028666903,-0.8804936674252669,-0.7295162699988914,-0.6145220841850534,1744688274370
0.7941972458480476,0.4576192973523918,0.45958051258001015,0.5286092317048434,0.49352114927351176,-0.8298247141491847,-0.9446464257185903,-0.8093335811670717,-0.6397471516630054,-0.8583901304393665,-0.7315583558445439,-0.6119141904495884,1744688274390
0.8809975556124898,0.5326810103614958,0.5190927715880337,0.5893957350869062,0.5251422189054775,-0.7831184463072417,-0.9627373750638797,-0.8049247951968429,-0.6405870406054912,-0.837981763807882,-0.7358016855373428,-0.6102338642949567,1744688274410
0.9627156574627473,0.6230553461741438,0.5843406476277216,0.6486039732809062,0.5599399713545308,-0.7234297023480232,-1.0042711132046676,-0.8046194971451169,-0.6414880092542873,-0.819193583617007,-0.7412299834743238,-0.6108120191704538,1744688274430
1.03571921599594,0.7236473167976484,0.6527100687494871,0.705968792380735,0.5957453867107558,-0.6538510449240622,-1.0572272543281787,-0.8109292452449905,-0.6420293544894489,-0.8019067813374754,-0.745301988907142,-0.6149265648229534,1744688274450
1.0946990239589427,0.8240649379180389,0.7187837366231306,0.7590939470759485,0.6301083615565601,-0.5828342917728608,-1.0955256640514481,-0.8244283834153588,-0.6421159692947365,-0.7861598108533956,-0.7438743725507243,-0.6229363693008738,1744688274470
1.1315145151702342,0.9100104745149453,0.7747096538754014,0.802930311236787,0.6610152118449308,-0.5229937479640265,-1.0815539721256837,-0.8422612040018175,-0.6419514298627094,-0.7719774849041022,-0.7315349778457414,-0.6333620415395621,1744688274490
1.1355332747727576,0.9656756639459203,0.8113882577977416,0.8303614025833794,0.6866286781672235,-0.48806529368544965,-0.9746274578215199,-0.8572911949078389,-0.6419043595020824,-0.7589249279664357,-0.7022580004575767,-0.6423376973453554,1744688274510
1.0956600648583716,0.9765003145663258,0.820019605745025,0.8336688933332997,0.7041849586375496,-0.4888989602418041,-0.744206355599185,-0.8585534455792119,-0.642315882768754,-0.7456123373542881,-0.6500839034600978,-0.6438663636469298,1744688274530
1.00343363974424,0.9318146561870256,0.7934734397812856,0.8063083205937264,0.7087701612058653,-0.5297696310437195,-0.3836643657133311,-0.8333610257869267,-0.6433055392735015,-0.7293595805339423,-0.569425901839954,-0.6311181938278698,1744688274550
0.8559875184423021,0.8268443338020871,0.7271212416765399,0.7443418225330982,0.6928874048740429,-0.6063090913057484,0.0816044361778786,-0.7707596819846688,-0.6446382751965921,-0.7061125134403574,-0.4547715185892421,-0.5986050786047713,1744688274570
0.6576724227148514,0.6635713137242663,0.6191548111502703,0.6471443081257773,0.6474890315813727,-0.7059217874234195,0.5969795480602146,-0.6652149578270425,-0.6457132187586215,-0.6705935747243955,-0.3000716217779698,-0.5445497842836886,1744688274590
0.41979801737885947,0.4503633949289209,0.4708179962770028,0.5174882119577545,0.5645927952974849,-0.8106264008938586,1.0928986824509765,-0.5188979035554117,-0.6457176129534337,-0.6166552711557414,-0.0987891790837064,-0.472386710020508,1744688274610
0.1588458368858758,0.20086673909500402,0.28704753864863297,0.36143854256552566,0.4408661846220859,-0.9011900393878435,1.5051120129030686,-0.3412385183990167,-0.6439479989964872,-0.5378902522958815,0.1542304618853585,-0.390409073872756,1744688274630
-0.10598985630485136,-0.06719700101379772,0.07756845676055733,0.18836246757067576,0.2808820324800983,-0.9609101522905386,1.7921362912372323,-0.14567955884160513,-0.6402343528973768,-0.4286359349262595,0.45884580233716954,-0.3092961001093665,1744688274650
-0.35519425351089756,-0.33315110928281993,-0.14222174023261808,0.010890456807935975,0.09849704190799423,-0.9779292483331241,1.9432259204686355,0.054847579342106524,-0.6353244475760235,-0.28544403122553214,0.805226047169853,-0.23837492855145412,1744688274670
-0.5709459837076103,-0.5748360601999006,-0.35167660021918984,-0.15572462682401306,-0.08471162914521617,-0.9461227582879554,1.975586350408075,0.2514028059286357,-0.6310247377311857,-0.10878811568352403,1.1718428091889286,-0.1823213548573986,1744688274690
-0.7387311045182244,-0.7710116460665194,-0.5274770827062469,-0.2953623245622765,-0.24389445388190323,-0.8653793056473272,1.924204157935941,0.43985099396398847,-0.6298905869451483,0.09562949878877025,1.528233256135244,-0.13990928323346033,1744688274710
-0.8485462148342777,-0.9046945821562107,-0.6482513460522323,-0.3938763801618531,-0.3569486484624948,-0.7418636820139584,1.829384921525015,0.6192008059106369,-0.6343482182443603,0.31681475831453026,1.842525178098312,-0.10531020519766202,1744688274730
-0.8956261463941606,-0.9664879781893037,-0.6998771653155798,-0.44222184516481866,-0.4100000110101587,-0.5879061776577611,1.726301330636392,0.7892448033195018,-0.6453229408623876,0.5401758478197649,2.0907056537172783,-0.07102775737431112,1744688274750
-0.8807264142732527,-0.9564347403569899,-0.6793332446154804,-0.43856831651161216,-0.4003311023101194,-0.42048123370683865,1.638869288908351,0.9494037080751383,-0.6607061652874765,0.7506706199127621,2.26312517016134,-0.030779970145480427,1744688274770
-0.8101058648760834,-0.8834458249118545,-0.595364791680115,-0.3883484344064623,-0.3357794924167572,-0.25766531868513315,1.5781607714437569,1.0993656059241654,-0.6742262895609532,0.936326182590305,2.365068009392721,0.01907628891109072,1744688274790
-0.6951962471790926,-0.7625786499431675,-0.4656625453388504,-0.30214304486111976,-0.23113712345267487,-0.11381691148003603,1.5440530575048232,1.2405485704999857,-0.6753671025402622,1.0908415727045908,2.411465558345591,0.08000450109909393,1744688274810
-0.5515807573206222,-0.6113339214456425,-0.3117481412377016,-0.19234435588168244,-0.10324340508483677,0.004634742553462436,1.528279588453267,1.376775805044608,-0.6507861753586281,1.2144066309061254,2.418638017652111,0.1530330565612355,1744688274830
-0.3968591684981739,-0.44619781188685415,-0.153493689621355,-0.07003793476552478,0.0332522793651615,0.10092560141432189,1.5174291451336968,1.5131218113883624,-0.5871979321070371,1.3126046326185432,2.396783929643054,0.24058344722389655,1744688274850
-0.2475845590834899,-0.28029588765768965,-0.005098767748991956,0.05667342447062796,0.16805772986349568,0.18645313800562746,1.495313588912195,1.6531504279088782,-0.4750233846514384,1.3939603048535585,2.345982180716469,0.34719891632388855,1744688274870
-0.11625381869460663,-0.12261803044162596,0.12637957458996688,0.18245936857100664,0.2950391283474119,0.2766565944605953,1.4449408508054706,1.795917169487589,-0.31154358664717563,1.467103290440449,2.256741259577672,0.47861843098335183,1744688274890
-0.00949193602941113,0.021299790461251827,0.23995740597712403,0.3032358879044618,0.410502396308458,0.38586258008999336,1.3506752391309074,1.9344724410933094,-0.10219660876335544,1.5385123978667752,2.114455587782314,0.6395839248972867,1744688274910
0.07208472076456417,0.14801413690311957,0.338126941723177,0.4146170208915316,0.511376050248367,0.5229009045535601,1.2009286931998424,2.0568831706308877,0.1406936317070499,1.6114100546211405,1.9059616045011352,0.8314933119215394,1744688274930
0.13264368592014367,0.255136630285626,0.4240979807712635,0.5115540553485707,0.5944137632526088,0.6888092910774456,0.99110341557293,2.149295093253424,0.401267468888496,1.6857862531251535,1.6259467369138891,1.0510818026905877,1744688274950
0.1791912167064261,0.3411410643531228,0.4999006110141676,0.5894545911804313,0.6566516419112584,0.8770290521707621,0.7258903261436934,2.1992389926229365,0.6640893434470755,1.759060989528981,1.2812384714470213,1.2907398792006586,1744688274970
0.2194407443984549,0.405784343678446,0.5657423486877114,0.6459632000807926,0.6965524893958235,1.0756087318203422,0.4198262202184331,2.1973022043883392,0.9171876676129488,1.826800847555907,0.8917505489924689,1.5402735778600158,1744688274990
0.2598879555968212,0.4505680216990618,0.6205146628784287,0.6821521192246789,0.7150351215278105,1.2704644907310447,0.09542319056067032,2.136654691905735,1.1533907508167909,1.8831961463428848,0.4877968432283017,1.789317758996501,1744688275010
0.3044463687649359,0.4788738833493123,0.6630747425570297,0.7023975271042034,0.7158776773484743,1.4487324722616866,-0.22097004816105703,2.011713202118796,1.3700112023324373,1.921411473075597,0.10439038437344662,2.0293921859229513,1744688275030
0.3538964531553398,0.4957090930012395,0.6937266339366781,0.7131026237628725,0.7053611633550485,1.6014291600810004,-0.5045527226924861,1.8179886226765873,1.5673251332766398,1.9341062291906364,-0.2260878903395348,2.2546837051129547,1744688275050
0.40614693852653044,0.5070356430078463,0.7151328414221807,0.7209063308810969,0.6911864780420904,1.724777944269786,-0.7371385533200042,1.5542619602014909,1.7462490285844465,1.914252459528326,-0.480904671043151,2.4609670321659736,1744688275070
0.4570231542402928,0.5185768621536111,0.7319358386428412,0.7309411355970762,0.6807667136527213,1.8197066255589491,-0.9102959149987265,1.2263585847204952,1.9054969444712397,1.856049618988324,-0.6515522277952691,2.64267166756958,1744688275090
0.5011722302826158,0.534102013607948,0.7488765378939204,0.7454410578717141,0.6791716911107605,1.8894196787660338,-1.0255405260438855,0.8503182551782986,2.038681246248527,1.755610750646672,-0.7443322314701408,2.7890162771716525,1744688275110
0.5328023055768677,0.5535461340940244,0.7679975484115809,0.7628615554163386,0.6872439666390323,1.9357052897459586,-1.091716658018366,0.4526835552766007,2.132339663813793,1.6113321999783823,-0.7768115603424798,2.8811416068908353,1744688275130
0.5462572514840106,0.5717096663221538,0.7861667945414621,0.777683476374245,0.700530467861103,1.9554301282428412,-1.12089188345266,0.06689169718648809,2.1662622443753414,1.424189515691019,-0.7716796695590302,2.8926040837614706,1744688275150
0.5366229501040463,0.5784242207660177,0.7943033659425747,0.7811023583146529,0.7095950901835151,1.938942574866269,-1.1245632940461914,-0.2734846934679708,2.117127128621613,1.198202084009083,-0.750424156686559,2.794715560272419,1744688275170
0.5005057775598825,0.5607883160775922,0.7792371276404793,0.7627334187127474,0.7020081280381457,1.8715547858503376,-1.111466516410842,-0.5424743081025734,1.9652075977171006,0.9409473257534827,-0.7288821234595994,2.566023197038253,1744688275190
