timestamp_ms,sock_reading_1,sock_reading_2,sock_reading_3,sock_reading_4,sock_reading_5,value1,value2,value5,value4,value6,value7,value3
1.74E+12,-2.46120022,-2.617063763,-2.50729355,-2.364576241,-2.062017773,-0.952269269,-1.011325686,-0.710535478,-0.638847458,-0.731638812,-0.616180742,-0.815272127
1.74E+12,-2.454908427,-2.6148706,-2.507957614,-2.339476836,-2.053251598,-0.95226923,-1.012876962,-0.70860169,-0.638847458,-0.731638731,-0.616180742,-0.815272127
1.74E+12,-2.443990612,-2.607662069,-2.504489451,-2.310568931,-2.041652442,-0.952269066,-1.015579566,-0.706628291,-0.638847458,-0.731638307,-0.616180742,-0.815272127
1.74E+12,-2.429090174,-2.595508482,-2.496806868,-2.27826104,-2.0265806,-0.952268988,-1.019024482,-0.704667682,-0.638847458,-0.731638071,-0.616180742,-0.815272127
1.74E+12,-2.410905452,-2.578718111,-2.485064193,-2.243032914,-2.007469771,-0.952269265,-1.022695964,-0.70282658,-0.638847458,-0.73163875,-0.616180742,-0.815272127
1.74E+12,-2.39013797,-2.557824649,-2.469623346,-2.205463401,-1.983981299,-0.952269702,-1.026263124,-0.701189357,-0.638847458,-0.731639916,-0.616180742,-0.815272127
1.74E+12,-2.367498909,-2.5335729,-2.451027784,-2.166280051,-1.956139172,-0.952269531,-1.029762886,-0.699779568,-0.638847458,-0.731639593,-0.616180742,-0.815272127
1.74E+12,-2.343758033,-2.506901261,-2.429985469,-2.126409523,-1.924419614,-0.952268428,-1.033392078,-0.698590297,-0.638847458,-0.731636779,-0.616180742,-0.815272127
1.74E+12,-2.319803185,-2.478916483,-2.407358535,-2.08700123,-1.889774308,-0.952267724,-1.036960594,-0.697607244,-0.638847458,-0.731634736,-0.616180742,-0.815272127
1.74E+12,-2.29667372,-2.450853664,-2.38414985,-2.049400349,-1.853576071,-0.952269404,-1.039490853,-0.696785879,-0.638847458,-0.731638785,-0.616180742,-0.815272127
1.74E+12,-2.275539892,-2.42401412,-2.361473489,-2.015060481,-1.817489867,-0.952272542,-1.039444105,-0.69604582,-0.638847458,-0.731647087,-0.616180742,-0.815272127
1.74E+12,-2.257618835,-2.39967735,-2.340498754,-1.985405878,-1.783287627,-0.952271979,-1.035515326,-0.695321368,-0.638847458,-0.731646457,-0.616180742,-0.815272127
1.74E+12,-2.244039371,-2.37899094,-2.322364885,-1.961670347,-1.752638125,-0.952264703,-1.027446601,-0.69459032,-0.638847458,-0.731628126,-0.616180742,-0.815272127
1.74E+12,-2.235685145,-2.362851985,-2.308073861,-1.944748405,-1.726909283,-0.952259027,-1.01630646,-0.693796751,-0.638847458,-0.731612345,-0.616180742,-0.815272127
1.74E+12,-2.233053594,-2.351801549,-2.298378318,-1.935091209,-1.707017308,-0.952270031,-1.004024218,-0.692737167,-0.638847458,-0.731638472,-0.616180742,-0.815272127
