timestamp,value1,value2,value3,value4,value5,value6
1744681016828,0,0,0,0,0,0,0
1744681016846,0,0,0,0,0,0,0
1744681016846,0,0,0,0,0,0,0
1744681016846,0,83,0,0,0,0,0
1744681016847,0,230,0,0,0,0,0
1744681016862,0,384,0,0,0,0,0
1744681016879,0,484,0,0,0,0,0
1744681016889,0,528,0,0,0,0,0
1744681016889,0,576,0,0,0,0,0
1744681016912,0,609,0,0,0,0,0
1744681016919,0,619,0,0,0,0,0
1744681016930,0,603,0,0,0,0,0
1744681016946,0,576,0,0,0,0,0
1744681016949,0,528,0,0,0,0,0
1744681016963,0,448,0,0,0,0,0
1744681016979,0,331,0,0,0,0,0
1744681017013,0,173,0,0,0,0,0
1744681017029,0,42,0,0,0,0,0
1744681017046,0,0,0,0,0,0,0
1744681017046,0,0,0,0,0,0,0
1744681017046,0,0,0,0,0,0,0
1744681017062,0,0,0,0,0,0,0
1744681017062,0,0,0,0,0,0,0
1744681017062,0,0,0,0,0,0,0
1744681017095,0,0,0,0,0,0,0
1744681017114,0,0,0,0,0,0,0
1744681017145,0,139,0,0,0,0,0
1744681017146,0,291,0,0,0,0,0
1744681017162,0,378,0,0,0,0,0
1744681017162,0,433,0,0,0,0,0
1744681017162,0,448,0,0,0,0,0
1744681017165,0,449,0,0,0,0,0
1744681017178,0,433,0,0,0,0,0
1744681017178,0,368,0,0,0,0,0
1744681017178,0,276,0,0,0,0,0
1744681017196,0,116,0,0,0,0,0
1744681017212,0,0,0,0,0,0,0
1744681017212,0,0,0,0,0,0,0
1744681017229,0,0,0,0,0,0,0
1744681017251,0,0,0,0,0,0,0
1744681017251,0,0,0,0,0,0,0
1744681017268,0,0,0,0,0,0,0
1744681017268,0,0,0,0,0,0,0
1744681017286,0,269,0,0,0,0,0
1744681017303,0,432,0,0,0,0,0
1744681017303,0,511,0,0,0,0,0
1744681017322,0,547,0,0,0,0,0
1744681017322,0,562,0,0,0,0,0
1744681017355,0,546,0,0,0,0,0
1744681017355,0,489,0,0,0,0,0
1744681017355,0,386,0,0,0,0,0
1744681017371,0,270,0,0,0,0,0
1744681017388,0,144,0,0,0,0,0
1744681017403,0,6,0,0,0,0,0
1744681017403,0,0,0,0,0,0,0
1744681017420,0,0,0,0,0,0,0
1744681017421,0,0,0,0,0,0,0
1744681017452,0,0,0,0,0,0,0
1744681017489,0,0,0,0,0,0,0
1744681017505,0,256,0,0,0,0,0
1744681017538,0,447,0,0,0,0,0
1744681017571,0,543,0,0,0,0,0
1744681017571,0,591,0,0,0,0,0
1744681017571,0,602,0,0,0,0,0
1744681017571,0,602,0,0,0,0,0
1744681017589,0,609,0,0,0,0,0
1744681017589,0,607,0,0,0,0,0
1744681017589,0,609,0,0,0,0,0
1744681017593,0,602,0,0,0,0,0
1744681017597,0,592,0,0,0,0,0
1744681017622,0,578,0,0,0,0,0
1744681017622,0,576,0,0,0,0,0
1744681017622,0,578,0,0,0,0,0
1744681017625,0,591,0,0,0,0,0
1744681017643,0,591,0,0,0,0,0
1744681017643,0,594,0,0,0,0,0
1744681017643,0,606,0,0,0,0,0
1744681017661,0,603,0,0,0,0,0
1744681017666,0,602,0,0,0,0,0
1744681017677,0,597,0,0,0,0,0
1744681017693,0,597,0,0,0,0,0
1744681017700,0,596,0,0,0,0,0
1744681017710,0,589,0,0,0,0,0
1744681017726,0,587,0,0,0,0,0
1744681017772,0,586,0,0,0,0,0
1744681017772,0,592,0,0,0,0,0
1744681017793,0,593,0,0,0,0,0
1744681017793,0,592,0,0,0,0,0
1744681017793,0,587,0,0,0,0,0
1744681017793,0,576,0,0,0,0,0
1744681017793,0,560,0,0,0,0,0
1744681017825,0,558,0,0,0,0,0
1744681017859,0,562,0,0,0,0,0
1744681017880,0,571,0,0,0,0,0
1744681017896,0,566,0,0,0,0,0
1744681017896,0,569,0,0,0,0,0
1744681017908,0,576,0,0,0,0,0
1744681017908,0,581,0,0,0,0,0
1744681017908,0,578,0,0,0,0,0
1744681017908,0,578,0,0,0,0,0
1744681017912,0,576,0,0,0,0,0
1744681017925,0,575,0,0,0,0,0
1744681017942,0,561,0,0,0,0,0
1744681017943,0,559,0,0,0,0,0
1744681017959,0,561,0,0,0,0,0
1744681017959,0,561,0,0,0,0,0
1744681017977,0,562,0,0,0,0,0
1744681017991,0,572,0,0,0,0,0
1744681018008,0,576,0,0,0,0,0
1744681018025,0,576,0,0,0,0,0
1744681018025,0,561,0,0,0,0,0
1744681018026,0,527,0,0,0,0,0
1744681018042,0,482,0,0,0,0,0
1744681018059,0,433,0,0,0,0,0
1744681018059,0,342,0,0,0,0,0
1744681018076,0,234,0,0,0,0,0
1744681018080,0,112,0,0,0,0,0
1744681018109,0,0,0,0,0,0,0
1744681018125,0,0,0,0,0,0,0
1744681018125,0,0,0,0,0,0,0
1744681018125,0,0,0,0,0,0,0
1744681018142,0,0,0,0,0,0,0
1744681018160,0,120,0,0,0,0,0
1744681018177,0,331,0,0,0,0,0
1744681018210,0,506,0,0,0,0,0
1744681018241,0,592,0,0,0,0,0
1744681018258,0,640,0,0,0,0,0
1744681018276,0,662,0,0,0,0,0
1744681018276,0,682,0,0,0,0,0
1744681018292,0,693,0,0,0,0,0
1744681018323,0,704,0,0,0,0,0
1744681018343,0,719,0,0,0,0,0
1744681018369,0,712,0,0,0,0,0
1744681018369,0,723,0,0,0,0,0
1744681018369,0,727,0,0,0,0,0
1744681018369,0,740,0,0,0,0,0
1744681018369,0,750,0,0,0,0,0
1744681018372,0,754,0,0,0,0,0
1744681018391,0,759,0,0,0,0,0
1744681018391,0,758,0,0,0,0,0
1744681018391,0,754,0,0,0,0,0
1744681018391,0,752,0,0,0,0,0
1744681018391,0,748,0,0,0,0,0
1744681018391,0,744,0,0,0,0,0
1744681018391,0,744,0,0,0,0,0
1744681018422,0,747,0,0,0,0,0
1744681018422,0,747,0,0,0,0,0
1744681018423,0,742,0,0,0,0,0
1744681018441,0,731,0,0,0,0,0
1744681018456,0,715,0,0,0,0,0
1744681018456,0,701,0,0,0,0,0
1744681018474,0,695,0,0,0,0,0
1744681018474,0,689,0,0,0,0,0
1744681018494,0,689,0,0,0,0,0
1744681018495,0,689,0,0,0,0,0
1744681018522,0,688,0,0,0,0,0
1744681018522,0,674,0,0,0,0,0
1744681018556,0,665,0,0,0,0,0
1744681018589,0,656,0,0,0,0,0
1744681018623,0,655,0,0,0,0,0
1744681018639,0,654,0,0,0,0,0
1744681018656,0,659,0,0,0,0,0
1744681018656,0,670,0,0,0,0,0
1744681018673,0,674,0,0,0,0,0
1744681018673,0,677,0,0,0,0,0
1744681018673,0,676,0,0,0,0,0
1744681018673,0,679,0,0,0,0,0
1744681018673,0,681,0,0,0,0,0
1744681018677,0,682,0,0,0,0,0
1744681018677,0,684,0,0,0,0,0
1744681018693,0,683,0,0,0,0,0
1744681018693,0,687,0,0,0,0,0
1744681018696,0,688,0,0,0,0,0
1744681018706,0,688,0,0,0,0,0
1744681018751,0,685,0,0,0,0,0
1744681018751,0,685,0,0,0,0,0
1744681018777,0,685,0,0,0,0,0
1744681018777,0,678,0,0,0,0,0
1744681018777,0,675,0,0,0,0,0
1744681018777,0,676,0,0,0,0,0
1744681018797,0,674,0,0,0,0,0
1744681018797,0,675,0,0,0,0,0
1744681018830,0,673,0,0,0,0,0
1744681018830,0,671,0,0,0,0,0
1744681018830,0,673,0,0,0,0,0
1744681018846,0,673,0,0,0,0,0
1744681018864,0,672,0,0,0,0,0
1744681018879,0,673,0,0,0,0,0
1744681018879,0,675,0,0,0,0,0
1744681018884,0,679,0,0,0,0,0
1744681018896,0,678,0,0,0,0,0
1744681018929,0,682,0,0,0,0,0
1744681018948,0,683,0,0,0,0,0
1744681018979,0,688,0,0,0,0,0
1744681018997,0,689,0,0,0,0,0
1744681018997,0,690,0,0,0,0,0
1744681018997,0,695,0,0,0,0,0
1744681018997,0,696,0,0,0,0,0
1744681018997,0,698,0,0,0,0,0
1744681018997,0,703,0,0,0,0,0
1744681019014,0,700,0,0,0,0,0
1744681019046,0,699,0,0,0,0,0
1744681019068,0,701,0,0,0,0,0
1744681019080,0,703,0,0,0,0,0
1744681019080,0,703,0,0,0,0,0
1744681019098,0,704,0,0,0,0,0
1744681019099,0,704,0,0,0,0,0
1744681019115,0,704,0,0,0,0,0
1744681019115,0,701,0,0,0,0,0
1744681019115,0,695,0,0,0,0,0
1744681019129,0,694,0,0,0,0,0
1744681019129,0,691,0,0,0,0,0
1744681019145,0,688,0,0,0,0,0
1744681019145,0,688,0,0,0,0,0
1744681019163,0,689,0,0,0,0,0
1744681019181,0,691,0,0,0,0,0
1744681019181,0,688,0,0,0,0,0
1744681019197,0,691,0,0,0,0,0
1744681019214,0,691,0,0,0,0,0
1744681019230,0,690,0,0,0,0,0
1744681019230,0,688,0,0,0,0,0
1744681019246,0,686,0,0,0,0,0
1744681019266,0,683,0,0,0,0,0
1744681019297,0,683,0,0,0,0,0
1744681019331,0,688,0,0,0,0,0
1744681019363,0,688,0,0,0,0,0
1744681019379,0,688,0,0,0,0,0
1744681019412,0,689,0,0,0,0,0
1744681019412,0,688,0,0,0,0,0
1744681019412,0,689,0,0,0,0,0
1744681019429,0,689,0,0,0,0,0
1744681019429,0,689,0,0,0,0,0
1744681019429,0,690,0,0,0,0,0
1744681019429,0,689,0,0,0,0,0
1744681019445,0,690,0,0,0,0,0
1744681019445,0,688,0,0,0,0,0
1744681019445,0,688,0,0,0,0,0
1744681019462,0,688,0,0,0,0,0
